title,year,role,name
Boy A (film),2007,star,Andrew Garfield
The Man with Bogart's Face,1980,star,Victor Buono
Marvelous (film),2006,cast,Amy Ryan
Day of the Evil Gun,1968,cast,Dean Jagger
13 (2010 film),2010,star,Mickey Rourke
13 (2010 film),2010,cast,Michael Shannon
Rasputin and the Empress,1932,star,Ethel Barrymore
Rasputin and the Empress,1932,star,Lionel Barrymore
Rasputin and the Empress,1932,cast,Diana Wynyard
Salt (2010 film),2010,star,Angelina Jolie
Salt (2010 film),2010,star,Chiwetel Ejiofor
"My Son, My Son, What Have Ye Done",2009,star,Michael Shannon
"My Son, My Son, What Have Ye Done",2009,star,Willem Dafoe
"My Son, My Son, What Have Ye Done",2009,star,Chloë Sevigny
"My Son, My Son, What Have Ye Done",2009,star,Brad Dourif
Man with the Gun,1955,star,Robert Mitchum
Man with the Gun,1955,star,Jan Sterling
Bandido (1956 film),1956,star,Robert Mitchum
The Forest Rangers (film),1942,star,Paulette Goddard
The Forest Rangers (film),1942,star,Susan Hayward
The Woman Inside,1981,cast,Joan Blondell
Big Daddy (1969 film),1969,cast,Victor Buono
Big Daddy (1969 film),1969,cast,Joan Blondell
Big Daddy (1969 film),1969,cast,Chill Wills
Zombieland,2009,star,Woody Harrelson
Zombieland,2009,star,Jesse Eisenberg
Zombieland,2009,star,Emma Stone
Zombieland,2009,star,Abigail Breslin
Zombieland,2009,cast,Bill Murray
Mr. North,1988,star,Robert Mitchum
Mr. North,1988,star,Anjelica Huston
Mr. North,1988,star,Virginia Madsen
Mr. North,1988,star,Lauren Bacall
The Fall of the Romanoffs,1917,director,Herbert Brenon
Lost Stallions: The Journey Home,2008,star,Mickey Rooney
Lovely to Look At,1952,director,Mervyn LeRoy
Lovely to Look At,1952,director,Vincente Minnelli
Voyage of Time,2016,cast,Brad Pitt
Voyage of Time,2016,cast,Cate Blanchett
Voyage of Time,2016,director,Terrence Malick
"Wife, Husband and Friend",1939,star,Loretta Young
"Wife, Husband and Friend",1939,star,Warner Baxter
L'immorale,1967,director,Pietro Germi
Misunderstood (1966 film),1966,star,Anthony Quayle
The Bramble Bush,1960,star,Richard Burton
Tenderness (2009 film),2009,star,Russell Crowe
Tenderness (2009 film),2009,cast,Laura Dern
The Crossing (1990 film),1990,star,Russell Crowe
American Reel,1999,star,Mariel Hemingway
Junior Miss (film),1945,director,George Seaton
One Flew Over the Cuckoo's Nest (film),1975,star,Jack Nicholson
One Flew Over the Cuckoo's Nest (film),1975,star,Louise Fletcher
One Flew Over the Cuckoo's Nest (film),1975,cast,Brad Dourif
Subterfuge (1968 film),1968,star,Richard Todd
The Hangover,2009,star,Bradley Cooper
The Hangover,2009,director,Todd Phillips
Oscar and Lucinda (film),1997,star,Ralph Fiennes
Oscar and Lucinda (film),1997,star,Cate Blanchett
Oscar and Lucinda (film),1997,star,Tom Wilkinson
Oscar and Lucinda (film),1997,cast,Geoffrey Rush
Il Capitano: A Swedish Requiem,1991,director,Jan Troell
Bus Riley's Back in Town,1965,star,Ann-Margret
A Man Called Peter,1955,star,Richard Todd
A Man Called Peter,1955,cast,Marjorie Rambeau
A Man Called Peter,1955,director,Henry Koster
Invictus (film),2009,star,Morgan Freeman
Invictus (film),2009,star,Matt Damon
Invictus (film),2009,director,Clint Eastwood
Death of a Salesman (1951 film),1951,star,Fredric March
Death of a Salesman (1951 film),1951,star,Mildred Dunnock
The Naked Civil Servant (film),1975,star,John Hurt
A Bunch of Amateurs,2008,star,Burt Reynolds
A Bunch of Amateurs,2008,star,Imelda Staunton
The Moon and the Stars,2007,star,Jonathan Pryce
Eminent Domain (film),1990,star,Anne Archer
Marionette (1939 film),1939,cast,Marcello Mastroianni
Love Story (1942 film),1942,cast,Marcello Mastroianni
Champions (1984 film),1984,star,John Hurt
Les Misérables (1948 film),1948,star,Valentina Cortese
Freefall (1994 film),1994,star,Eric Roberts
Twenty Years (film),1949,cast,Marcello Mastroianni
Messenger of Death,1988,director,J. Lee Thompson
Vertigine d'amore,1949,cast,Marcello Mastroianni
Against the Law (1950 film),1950,star,Marcello Mastroianni
A Dog's Life (1950 film),1950,cast,Marcello Mastroianni
The Accusation,1950,star,Marcello Mastroianni
A Tale of Five Cities,1951,cast,Marcello Mastroianni
Paris Is Always Paris,1951,cast,Marcello Mastroianni
The Mute of Portici,1952,cast,Marcello Mastroianni
Percy Jackson & the Olympians: The Lightning Thief,2010,star,Catherine Keener
Percy Jackson & the Olympians: The Lightning Thief,2010,star,Uma Thurman
Barefoot Savage,1952,cast,Marcello Mastroianni
Tragic Return,1952,star,Marcello Mastroianni
The Divine Woman,1928,star,Greta Garbo
The Cake Eaters,2007,star,Bruce Dern
The Cake Eaters,2007,cast,Melissa Leo
Conviction (2010 film),2010,star,Hilary Swank
Conviction (2010 film),2010,star,Sam Rockwell
Conviction (2010 film),2010,star,Minnie Driver
Conviction (2010 film),2010,star,Melissa Leo
Conviction (2010 film),2010,star,Juliette Lewis
Conquest of the Air,1936,star,Laurence Olivier
The Power of One (film),1992,star,Armin Mueller-Stahl
The Power of One (film),1992,star,John Gielgud
The Power of One (film),1992,star,Morgan Freeman
The Power of One (film),1992,director,John G. Avildsen
The Eternal Chain,1952,star,Marcello Mastroianni
Black Feathers,1952,star,Marcello Mastroianni
Miss Annie Rooney,1942,star,William Gargan
Lulu (1953 film),1953,star,Valentina Cortese
Lulu (1953 film),1953,cast,Marcello Mastroianni
Eager to Live,1953,cast,Marcello Mastroianni
It's Never Too Late (1953 film),1953,star,Marcello Mastroianni
Sunday Heroes,1953,cast,Marcello Mastroianni
In Praise of Older Women (1978 film),1978,star,Tom Berenger
In Praise of Older Women (1978 film),1978,star,Karen Black
Il viale della speranza,1953,cast,Marcello Mastroianni
Schiava del peccato,1954,cast,Marcello Mastroianni
The Island Princess (film),1954,cast,Marcello Mastroianni
A Slice of Life (1954 film),1954,star,Vittorio De Sica
A Slice of Life (1954 film),1954,star,Sophia Loren
A Slice of Life (1954 film),1954,star,Marcello Mastroianni
The Naked and the Dead (film),1958,star,Cliff Robertson
The Naked and the Dead (film),1958,star,Raymond Massey
The Naked and the Dead (film),1958,cast,Richard Jaeckel
A Month by the Lake,1995,star,Vanessa Redgrave
A Month by the Lake,1995,star,Uma Thurman
Days of Love,1954,star,Marcello Mastroianni
House of Ricordi,1954,star,Marcello Mastroianni
Tom Toms of Mayumba,1955,cast,Marcello Mastroianni
The Miller's Beautiful Wife,1955,star,Vittorio De Sica
The Miller's Beautiful Wife,1955,star,Sophia Loren
The Miller's Beautiful Wife,1955,cast,Marcello Mastroianni
Small Town Saturday Night (film),2010,cast,Octavia Spencer
The King's Thief,1955,star,Ann Blyth
The King's Thief,1955,star,David Niven
The King's Thief,1955,star,George Sanders
The King's Thief,1955,director,Robert Z. Leonard
It Came from Kuchar,2009,cast,Buck Henry
It Came from Kuchar,2009,cast,Atom Egoyan
Centurion (film),2010,star,Michael Fassbender
Hello Down There,1969,star,Janet Leigh
Hello Down There,1969,cast,Richard Dreyfuss
Million Dollar Baby (1941 film),1941,cast,May Robson
The Fifth Patient,2007,cast,Peter Bogdanovich
Whispers in the Dark (film),1992,star,Jill Clayburgh
Whispers in the Dark (film),1992,star,Alan Alda
Traces of Red,1992,star,Lorraine Bracco
That Evening Sun (film),2009,star,Hal Holbrook
The Way Back (2010 film),2010,star,Ed Harris
The Way Back (2010 film),2010,star,Saoirse Ronan
The Way Back (2010 film),2010,director,Peter Weir
Reunion (1989 film),1989,star,Jason Robards
Lucky to Be a Woman,1956,star,Sophia Loren
Lucky to Be a Woman,1956,star,Charles Boyer
Lucky to Be a Woman,1956,star,Marcello Mastroianni
The Bigamist (1956 film),1956,star,Marcello Mastroianni
The Bigamist (1956 film),1956,cast,Vittorio De Sica
Doctor and the Healer,1957,star,Vittorio De Sica
Doctor and the Healer,1957,star,Marcello Mastroianni
Fathers and Sons (1957 film),1957,star,Vittorio De Sica
Fathers and Sons (1957 film),1957,cast,Marcello Mastroianni
The Human Factor (1979 film),1979,star,Richard Attenborough
The Human Factor (1979 film),1979,star,John Gielgud
The Human Factor (1979 film),1979,cast,Robert Morley
The Human Factor (1979 film),1979,director,Otto Preminger
Tomahawk (film),1951,star,Van Heflin
Tomahawk (film),1951,cast,Jack Oakie
Tomahawk (film),1951,cast,Tom Tully
Tomahawk (film),1951,cast,Rock Hudson
"Sand, Love and Salt",1957,star,Marcello Mastroianni
The Most Wonderful Moment,1957,star,Marcello Mastroianni
"Léon Morin, Priest",1961,star,Emmanuelle Riva
Five Minutes of Heaven,2009,star,Liam Neeson
Love and Troubles,1958,star,Marcello Mastroianni
Love and Troubles,1958,cast,Valentina Cortese
My Wife's Enemy,1959,star,Marcello Mastroianni
My Wife's Enemy,1959,cast,Vittorio De Sica
Piece of the Sky,1959,star,Marcello Mastroianni
Everyone's in Love,1959,star,Marcello Mastroianni
"Ferdinando I, re di Napoli",1959,cast,Vittorio De Sica
"Ferdinando I, re di Napoli",1959,cast,Marcello Mastroianni
Arrowhead (1953 film),1953,star,Charlton Heston
Arrowhead (1953 film),1953,star,Jack Palance
Arrowhead (1953 film),1953,cast,Katy Jurado
Ghosts of Rome,1961,star,Marcello Mastroianni
The Assassin (1961 film),1961,star,Marcello Mastroianni
A Lawless Street,1955,star,Angela Lansbury
You Gotta Stay Happy,1948,star,Joan Fontaine
You Gotta Stay Happy,1948,star,James Stewart
You Gotta Stay Happy,1948,star,Eddie Albert
You Gotta Stay Happy,1948,cast,Roland Young
Speed (1936 film),1936,star,James Stewart
Speed (1936 film),1936,cast,Una Merkel
Navy Blue and Gold (film),1937,star,James Stewart
Navy Blue and Gold (film),1937,star,Lionel Barrymore
Navy Blue and Gold (film),1937,cast,Billie Burke
Navy Blue and Gold (film),1937,director,Sam Wood
Break Up (1965 film),1965,star,Marcello Mastroianni
"Me, Me, Me... and the Others",1966,cast,Vittorio De Sica
"Me, Me, Me... and the Others",1966,cast,Marcello Mastroianni
"Shoot Loud, Louder... I Don't Understand",1966,star,Marcello Mastroianni
The Castle (1997 Austrian film),1997,director,Michael Haneke
The Last Grenade,1970,cast,Richard Attenborough
Ghosts – Italian Style,1967,star,Sophia Loren
Ghosts – Italian Style,1967,star,Marcello Mastroianni
Diamonds for Breakfast (film),1968,star,Marcello Mastroianni
Design for Living (film),1933,star,Fredric March
Design for Living (film),1933,star,Gary Cooper
Design for Living (film),1933,star,Miriam Hopkins
Design for Living (film),1933,cast,Jane Darwell
Design for Living (film),1933,director,Ernst Lubitsch
The Honorary Consul (film),1983,star,Michael Caine
The Honorary Consul (film),1983,star,Bob Hoskins
Frisco Jenny,1932,star,Ruth Chatterton
Frisco Jenny,1932,star,Louis Calhern
Frisco Jenny,1932,director,William A. Wellman
The Avengers (2012 film),2012,star,Robert Downey Jr.
The Avengers (2012 film),2012,star,Mark Ruffalo
The Avengers (2012 film),2012,star,Scarlett Johansson
The Avengers (2012 film),2012,star,Jeremy Renner
The Avengers (2012 film),2012,star,Samuel L. Jackson
"Chung Kuo, Cina",1972,director,Michelangelo Antonioni
Seven Cities of Gold (film),1955,star,Anthony Quinn
Seven Cities of Gold (film),1955,star,Rita Moreno
Coco (2009 film),2009,cast,Gérard Depardieu
Scipio the African,1971,star,Marcello Mastroianni
Best Friends (1982 film),1982,star,Burt Reynolds
Best Friends (1982 film),1982,star,Goldie Hawn
Best Friends (1982 film),1982,star,Jessica Tandy
Best Friends (1982 film),1982,director,Norman Jewison
1870 (film),1971,star,Anna Magnani
1870 (film),1971,star,Marcello Mastroianni
My Name Is Rocco Papaleo,1971,star,Marcello Mastroianni
The Priest's Wife,1971,star,Sophia Loren
The Priest's Wife,1971,star,Marcello Mastroianni
It Only Happens to Others,1971,star,Catherine Deneuve
It Only Happens to Others,1971,star,Marcello Mastroianni
The Bounty Hunter (1954 film),1954,cast,Ernest Borgnine
That's the Way of the World (film),1975,star,Harvey Keitel
So Big (1953 film),1953,star,Jane Wyman
So Big (1953 film),1953,star,Nancy Olson
So Big (1953 film),1953,cast,Martha Hyer
So Big (1953 film),1953,director,Robert Wise
Liza (1972 film),1972,star,Catherine Deneuve
Liza (1972 film),1972,star,Marcello Mastroianni
Treasure of Matecumbe,1976,star,Joan Hackett
Treasure of Matecumbe,1976,star,Peter Ustinov
Pontiac Moon,1994,star,Mary Steenburgen
Pontiac Moon,1994,star,Cathy Moriarty
Physical Evidence,1989,star,Burt Reynolds
Physical Evidence,1989,star,Ned Beatty
Iron Man 2,2010,star,Robert Downey Jr.
Iron Man 2,2010,star,Gwyneth Paltrow
Iron Man 2,2010,star,Don Cheadle
Iron Man 2,2010,star,Scarlett Johansson
Iron Man 2,2010,star,Sam Rockwell
Iron Man 2,2010,star,Mickey Rourke
Iron Man 2,2010,star,Samuel L. Jackson
Iron Man 3,2013,star,Robert Downey Jr.
Iron Man 3,2013,star,Gwyneth Paltrow
Iron Man 3,2013,star,Don Cheadle
Iron Man 3,2013,star,Ben Kingsley
Two People (1973 film),1973,star,Peter Fonda
Two People (1973 film),1973,star,Estelle Parsons
Two People (1973 film),1973,director,Robert Wise
Out Cold (1989 film),1989,star,John Lithgow
Out Cold (1989 film),1989,star,Teri Garr
Out Cold (1989 film),1989,star,Randy Quaid
Romantic Comedy (1983 film),1983,star,Dudley Moore
Romantic Comedy (1983 film),1983,star,Mary Steenburgen
Romantic Comedy (1983 film),1983,director,Arthur Hiller
Away We Go,2009,star,Maggie Gyllenhaal
Away We Go,2009,star,Allison Janney
Away We Go,2009,director,Sam Mendes
I Wanted Wings,1941,star,Ray Milland
I Wanted Wings,1941,star,William Holden
I Wanted Wings,1941,cast,Brian Donlevy
Dirty Weekend (1973 film),1973,cast,Marcello Mastroianni
A Slightly Pregnant Man,1973,star,Marcello Mastroianni
A Slightly Pregnant Man,1973,star,Catherine Deneuve
A Slightly Pregnant Man,1973,cast,Marisa Pavan
Hail the Artist,1973,star,Marcello Mastroianni
That Lady in Ermine,1948,director,Ernst Lubitsch
That Lady in Ermine,1948,director,Otto Preminger
Fair Game (2010 film),2010,star,Naomi Watts
Fair Game (2010 film),2010,star,Sean Penn
Fair Game (2010 film),2010,star,Sam Shepard
Sex Pot (1975 film),1975,star,Sophia Loren
Sex Pot (1975 film),1975,star,Marcello Mastroianni
Down the Ancient Staircase,1975,star,Marcello Mastroianni
The Sunday Woman (film),1975,star,Marcello Mastroianni
Lunatics and Lovers,1976,star,Marcello Mastroianni
Beyond the Last Frontier,1943,star,Robert Mitchum
Devil and the Deep,1932,star,Gary Cooper
Devil and the Deep,1932,star,Charles Laughton
Devil and the Deep,1932,star,Cary Grant
Todo modo,1976,star,Marcello Mastroianni
Double Murder,1977,star,Marcello Mastroianni
Double Murder,1977,cast,Peter Ustinov
Neapolitan Mystery,1979,star,Marcello Mastroianni
Blood Feud (1978 film),1978,star,Sophia Loren
Blood Feud (1978 film),1978,star,Marcello Mastroianni
Blood Feud (1978 film),1978,star,Giancarlo Giannini
Blood Feud (1978 film),1978,director,Lina Wertmüller
Traffic Jam (film),1979,cast,Gérard Depardieu
Traffic Jam (film),1979,cast,Marcello Mastroianni
The White Dawn,1974,cast,"Louis Gossett, Jr."
Fantasma d'amore,1981,star,Marcello Mastroianni
Beyond the Door (1982 film),1982,star,Marcello Mastroianni
Beyond the Door (1982 film),1982,cast,Tom Berenger
Inside Out (1975 film),1975,star,Telly Savalas
Inside Out (1975 film),1975,star,James Mason
Gabriela (1983 film),1983,star,Marcello Mastroianni
The Story of Piera,1983,star,Isabelle Huppert
The Story of Piera,1983,star,Marcello Mastroianni
Daddy Long Legs (1931 film),1931,star,Janet Gaynor
Daddy Long Legs (1931 film),1931,star,Warner Baxter
Daddy Long Legs (1931 film),1931,star,Una Merkel
Breaking In (1989 film),1989,star,Burt Reynolds
Ondine (film),2009,cast,Stephen Rea
Ondine (film),2009,director,Neil Jordan
The Treatment (2006 film),2006,star,Ian Holm
The General of the Dead Army (film),1983,star,Marcello Mastroianni
The General of the Dead Army (film),1983,cast,Anouk Aimée
Henry IV (film),1984,star,Marcello Mastroianni
The Two Lives of Mattia Pascal,1985,star,Marcello Mastroianni
Macaroni (film),1985,star,Jack Lemmon
Macaroni (film),1985,star,Marcello Mastroianni
The Beekeeper (film),1986,star,Marcello Mastroianni
Broken Lullaby,1932,star,Lionel Barrymore
Broken Lullaby,1932,star,Nancy Carroll
Broken Lullaby,1932,director,Ernst Lubitsch
The Black Marble,1980,cast,Richard Dix
The Black Marble,1980,cast,Anne Ramsey
The Black Marble,1980,cast,James Woods
The Iron Curtain (film),1948,star,Gene Tierney
The Iron Curtain (film),1948,director,William Wellman
The Lemon Sisters,1990,star,Diane Keaton
The Lemon Sisters,1990,star,Carol Kane
The Lemon Sisters,1990,star,Elliott Gould
The Lemon Sisters,1990,star,Estelle Parsons
Miss Arizona (1988 film),1988,star,Marcello Mastroianni
Big Deal After 20 Years,1987,star,Marcello Mastroianni
A Fine Romance (film),1991,star,Julie Andrews
A Fine Romance (film),1991,star,Marcello Mastroianni
Towards Evening,1990,star,Marcello Mastroianni
The Miracle (1991 film),1991,director,Neil Jordan
Boardwalk (film),1979,star,Ruth Gordon
Boardwalk (film),1979,star,Lee Strasberg
Boardwalk (film),1979,star,Janet Leigh
The High Command,1937,cast,James Mason
Enid (film),2009,star,Helena Bonham Carter
The Children Thief,1991,star,Marcello Mastroianni
I Don't Want to Talk About It (film),1993,star,Marcello Mastroianni
"1, 2, 3, Sun",1993,star,Marcello Mastroianni
One Hundred and One Nights,1995,star,Marcello Mastroianni
One Hundred and One Nights,1995,cast,Anouk Aimée
One Hundred and One Nights,1995,cast,Catherine Deneuve
One Hundred and One Nights,1995,cast,Robert De Niro
One Hundred and One Nights,1995,cast,Gérard Depardieu
One Hundred and One Nights,1995,cast,Harrison Ford
One Hundred and One Nights,1995,cast,Isabelle Adjani
One Hundred and One Nights,1995,cast,Clint Eastwood
Voyage to the Beginning of the World,1997,star,Marcello Mastroianni
Mask of the Avenger,1951,star,Anthony Quinn
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,star,Liam Neeson
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,star,Tilda Swinton
The Last Gangster,1937,star,James Stewart
Drums Across the River,1954,star,Walter Brennan
Torpedo Bay,1963,star,James Mason
The Last of Mrs. Cheyney (1929 film),1929,star,Norma Shearer
The Last of Mrs. Cheyney (1929 film),1929,star,Basil Rathbone
Canadian Pacific (film),1949,star,J. Carrol Naish
Canadian Pacific (film),1949,cast,Nancy Olson
